Batch_Name	Plate_Name	Well_Count	Images_per_site	Sites_per_well_Median	Sites_per_well_mad
2022_08_22_Batch_1	2022_08_08_PPL8_100-800	384	4	9	0.005
2023-12-15_B4A3R1	2023-12-15_B4A3R1_P1T1	384	7	9	0.0
2023-12-15_B4A3R1	2023-12-15_B4A3R1_P1T2	384	7	9	0.0
2023-12-15_B4A3R1	2023-12-18_B4A3R1_P1T3	384	7	9	0.0
2023-12-15_B4A3R1	2023-12-18_B4A3R1_P1T4	384	7	9	0.0
2023-12-15_B4A4R1	2023-12-15_B4A4R1_P1T1	384	7	9	0.0
2023-12-15_B4A4R1	2023-12-16_B4A4R1_P1T2	384	7	9	0.0
2023-12-15_B4A4R1	2023-12-16_B4A4R1_P1T3	384	7	9	0.0
2023-12-15_B4A4R1	2023-12-16_B4A4R1_P1T4	384	7	9	0.0
2023-12-21_B6A3R2	2023-12-21_B6A3R2_P1T1	384	7	9	0.0
2023-12-21_B6A3R2	2023-12-21_B6A3R2_P1T2	384	7	9	0.0
2023-12-21_B6A3R2	2023-12-21_B6A3R2_P1T3	384	7	9	0.0
2023-12-21_B6A3R2	2023-12-21_B6A3R2_P1T4	384	7	9	0.0
2023-12-22_B6A4R2	2023-12-22_B6A4R2_P1T1	384	7	9	0.0
2023-12-22_B6A4R2	2023-12-22_B6A4R2_P1T2	384	7	9	0.0
2023-12-22_B6A4R2	2023-12-22_B6A4R2_P1T3	384	7	9	0.0
2023-12-22_B6A4R2	2023-12-22_B6A4R2_P1T4	384	7	9	0.0
2023_02_23_Batch_3	2022_09_29_PPL9_P2	384	4	9	0.0
2023_02_23_Batch_3	2022_09_29_PPL9_P3	384	4	9	0.0
2023_02_23_Batch_3	2022_10_11_PPL9_P1	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-24_B1A1R1_P1T2	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-25_B1A1R1_P1T3	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-25_B1A1R1_P1T4	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-26_B1A1R1_P2T1	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-26_B1A1R1_P2T2	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-26_B1A1R1_P2T3	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-26_B1A1R1_P2T4	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-29_B1A1R1_P3T1	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-29_B1A1R1_P3T2	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-29_B1A1R1_P3T3	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-30_B1A1R1_P1T1	384	4	9	0.0
